State,Domain,Reporting Program,Measure Name,Measure Abbreviation,Measure Type,Rate Definition,FFY,Population,Methodology,State Rate,Number of States Reporting,Median,Bottom Quartile,Top Quartile,Notes,Source,State Specific Comments,Rate Used in Calculating State Mean and Median
South Carolina,Maternal and Perinatal Health,Adult Core Set,Contraceptive Care: Postpartum Women Ages 21 to 44,CCP-AD,Higher rates are better for this measure,Percentage of Postpartum Women Provided a Long-Acting Reversible Method of Contraception Within 60 Days of Delivery: Ages 21 to 44,2019,Medicaid & CHIP,Administrative,13.2,29,12.6,8.9,14.7,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rates include family planning waiver and managed care population (5 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles.,Yes
South Carolina,Maternal and Perinatal Health,Adult Core Set,Prenatal and Postpartum Care: Postpartum Care,PPC-AD,Higher rates are better for this measure,Percentage of Women Delivering a Live Birth who had a Postpartum Care Visit on or Between 21 and 56 Days after Delivery,2019,Medicaid & CHIP,Administrative,57.4,39,61.2,57.4,66.3,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rate includes managed care population (5 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles.,Yes
South Carolina,Primary Care Access and Preventive Care,Adult Core Set,Adult Body Mass Index Assessment: Ages 18 to 74,ABA-AD,Higher rates are better for this measure,Percentage who had an Outpatient Visit with a BMI Documented in the Medical Record: Ages 18 to 64,2019,Medicaid & CHIP,Administrative,45.4,36,83.5,53.7,90.4,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rate includes managed care population (5 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles.,Yes
South Carolina,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2019,Medicaid,Administrative,56.1,43,53.4,49.1,59.1,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rate includes managed care population (5 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles.,Yes
South Carolina,Primary Care Access and Preventive Care,Adult Core Set,Cervical Cancer Screening: Ages 21 to 64,CCS-AD,Higher rates are better for this measure,Percentage of Women Screened for Cervical Cancer: Ages 21 to 64,2019,Medicaid & CHIP,Administrative,49.4,43,55.1,48.4,61.3,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rate includes managed care population (5 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles.,Yes
South Carolina,Primary Care Access and Preventive Care,Adult Core Set,Chlamydia Screening in Women Ages 21 to 24,CHL-AD,Higher rates are better for this measure,Percentage of Sexually Active Women Screened for Chlamydia: Ages 21 to 24,2019,Medicaid & CHIP,Administrative,62.1,44,60.2,55.1,65.2,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rate includes managed care population (5 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles.,Yes
South Dakota,Behavioral Health Care,Adult Core Set,Follow-Up After Hospitalization for Mental Illness: Age 18 and Older,FUH-AD,Higher rates are better for this measure,Percentage of Hospitalizations for Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 7 Days after Discharge: Ages 18 to 64,2019,Medicaid & CHIP & Dual Eligibles,Administrative,34.2,42,32.3,24.3,46.7,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rates include FFS population. Rates exclude recipients who had a stay in a Psychiatric Residential Treatment Facility during the measurement year. Rates also exclude services provided by Indian Health Service and may not capture all services reimbursed on a per diem basis, such as those provided by Rural Health Clinics and Federally Qualified Health Centers.",Yes
South Dakota,Behavioral Health Care,Adult Core Set,Follow-Up After Hospitalization for Mental Illness: Age 18 and Older,FUH-AD,Higher rates are better for this measure,Percentage of Hospitalizations for Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 30 Days after Discharge: Ages 18 to 64,2019,Medicaid & CHIP & Dual Eligibles,Administrative,54.9,42,54.8,41.7,63,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rates include FFS population. Rates exclude recipients who had a stay in a Psychiatric Residential Treatment Facility during the measurement year. Rates also exclude services provided by Indian Health Service and may not capture all services reimbursed on a per diem basis, such as those provided by Rural Health Clinics and Federally Qualified Health Centers.",Yes
South Dakota,Behavioral Health Care,Adult Core Set,Use of Opioids at High Dosage in Persons Without Cancer: Age 18 and Older,OHD-AD,Lower rates are better for this measure,Percentage of Adults Without Cancer with Two or More Opioid Prescription Claims with an Average Daily Dosage Greater than or Equal to 90 Morphine Milligram Equivalents Over 90 Consecutive Days or More: Ages 18 to 64,2019,Medicaid & CHIP & Dual Eligibles,Administrative,8.8,26,6.4,10.7,3.4,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rate includes FFS population. Rate excludes services provided by Indian Health Service and may not capture all services reimbursed on a per diem basis, such as those provided by Rural Health Clinics and Federally Qualified Health Centers.",Yes
South Dakota,Maternal and Perinatal Health,Adult Core Set,Contraceptive Care: Postpartum Women Ages 21 to 44,CCP-AD,Higher rates are better for this measure,Percentage of Postpartum Women Provided a Most Effective or Moderately Effective Method of Contraception Within 3 Days of Delivery: Ages 21 to 44,2019,Medicaid & CHIP & Dual Eligibles,Administrative,12.3,29,11.3,9.1,14.4,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rates include FFS population. Rates exclude services provided by the Indian Health Service and may not capture all services reimbursed on a per diem basis, such as those provided by Rural Health Clinics and Federally Qualified Health Centers.",Yes
South Dakota,Maternal and Perinatal Health,Adult Core Set,Contraceptive Care: Postpartum Women Ages 21 to 44,CCP-AD,Higher rates are better for this measure,Percentage of Postpartum Women Provided a Most Effective or Moderately Effective Method of Contraception Within 60 Days of Delivery: Ages 21 to 44,2019,Medicaid & CHIP & Dual Eligibles,Administrative,43.4,29,40.2,32.5,46.6,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rates include FFS population. Rates exclude services provided by the Indian Health Service and may not capture all services reimbursed on a per diem basis, such as those provided by Rural Health Clinics and Federally Qualified Health Centers.",Yes
South Dakota,Maternal and Perinatal Health,Adult Core Set,Contraceptive Care: Postpartum Women Ages 21 to 44,CCP-AD,Higher rates are better for this measure,Percentage of Postpartum Women Provided a Long-Acting Reversible Method of Contraception Within 3 Days of Delivery: Ages 21 to 44,2019,Medicaid & CHIP & Dual Eligibles,Administrative,2.1,29,1.6,0.5,2.1,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rates include FFS population. Rates exclude services provided by the Indian Health Service and may not capture all services reimbursed on a per diem basis, such as those provided by Rural Health Clinics and Federally Qualified Health Centers.",Yes
South Dakota,Maternal and Perinatal Health,Adult Core Set,Contraceptive Care: Postpartum Women Ages 21 to 44,CCP-AD,Higher rates are better for this measure,Percentage of Postpartum Women Provided a Long-Acting Reversible Method of Contraception Within 60 Days of Delivery: Ages 21 to 44,2019,Medicaid & CHIP & Dual Eligibles,Administrative,15.8,29,12.6,8.9,14.7,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rates include FFS population. Rates exclude services provided by the Indian Health Service and may not capture all services reimbursed on a per diem basis, such as those provided by Rural Health Clinics and Federally Qualified Health Centers.",Yes
Tennessee,Behavioral Health Care,Adult Core Set,Adherence to Antipsychotic Medications for Individuals with Schizophrenia: Ages 19 to 64,SAA-AD,Higher rates are better for this measure,Percentage with Schizophrenia or Schizoaffective Disorder who were Dispensed and Remained on Antipsychotic Medication for at Least 80 Percent of their Treatment Period: Ages 19 to 64,2019,Medicaid,Administrative,56.7,37,59.1,56.3,67.7,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rate includes managed care population (4 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. Rate was validated by the state's EQRO.,Yes
Tennessee,Behavioral Health Care,Adult Core Set,Antidepressant Medication Management: Age 18 and Older,AMM-AD,Higher rates are better for this measure,Percentage Diagnosed with Major Depression who were Treated with and Remained on Antidepressant Medication for 12 Weeks: Ages 18 to 64,2019,Medicaid,Administrative,45.7,37,51.3,47.9,53.5,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rates include managed care population (4 MCOs) age 18 and older. Rates exclude Medicare-Medicaid Dual Eligibles. Rates were validated by the state's EQRO.,Yes
Tennessee,Behavioral Health Care,Adult Core Set,Antidepressant Medication Management: Age 18 and Older,AMM-AD,Higher rates are better for this measure,Percentage Diagnosed with Major Depression who were Treated with and Remained on Antidepressant Medication for 6 Months: Ages 18 to 64,2019,Medicaid,Administrative,30.4,37,34.4,29.7,38.5,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rates include managed care population (4 MCOs) age 18 and older. Rates exclude Medicare-Medicaid Dual Eligibles. Rates were validated by the state's EQRO.,Yes
Tennessee,Behavioral Health Care,Adult Core Set,Diabetes Screening for People with Schizophrenia or Bipolar Disorder Who Are Using Antipsychotic Medications: Ages 18 to 64,SSD-AD,Higher rates are better for this measure,"Percentage with Schizophrenia, Schizoaffective Disorder, or Bipolar Disorder who were Dispensed an Antipsychotic Medication and had a Diabetes Screening Test: Ages 18 to 64",2019,Medicaid,Administrative,83.9,37,79.8,76.8,81.9,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rate includes managed care population (4 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. Rate was validated by the state's EQRO.,Yes
Tennessee,Behavioral Health Care,Adult Core Set,Follow-Up After Emergency Department Visit for Alcohol and Other Drug Abuse or Dependence: Age 18 and Older,FUA-AD,Higher rates are better for this measure,Percentage of Emergency Department (ED) Visits for Alcohol and Other Drug Abuse or Dependence with a Follow-Up Visit Within 7 Days of the ED Visit: Ages 18 to 64,2019,Medicaid,Administrative,4.6,36,13.9,7.6,17.8,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rates include managed care population (4 MCOs) age 18 and older. Rates exclude Medicare-Medicaid Dual Eligibles. Rates were validated by the state's EQRO.,Yes
Tennessee,Behavioral Health Care,Adult Core Set,Follow-Up After Emergency Department Visit for Alcohol and Other Drug Abuse or Dependence: Age 18 and Older,FUA-AD,Higher rates are better for this measure,Percentage of Emergency Department (ED) Visits for Alcohol and Other Drug Abuse or Dependence with a Follow-Up Visit Within 30 Days of the ED Visit: Ages 18 to 64,2019,Medicaid,Administrative,7.3,36,21.7,12.5,27.6,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rates include managed care population (4 MCOs) age 18 and older. Rates exclude Medicare-Medicaid Dual Eligibles. Rates were validated by the state's EQRO.,Yes
Tennessee,Behavioral Health Care,Adult Core Set,Follow-Up After Emergency Department Visit for Mental Illness: Age 18 and Older,FUM-AD,Higher rates are better for this measure,Percentage of Emergency Department (ED) Visits for Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 7 Days of the ED Visit: Ages 18 to 64,2019,Medicaid,Administrative,28.6,36,38.4,29.5,48.9,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rates include managed care population (4 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles. Rates were validated by the state's EQRO.,Yes
Tennessee,Behavioral Health Care,Adult Core Set,Follow-Up After Emergency Department Visit for Mental Illness: Age 18 and Older,FUM-AD,Higher rates are better for this measure,Percentage of Emergency Department (ED) Visits for Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 30 Days of the ED Visit: Ages 18 to 64,2019,Medicaid,Administrative,43.5,36,52.1,45.5,64.8,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rates include managed care population (4 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles. Rates were validated by the state's EQRO.,Yes
Tennessee,Behavioral Health Care,Adult Core Set,Follow-Up After Hospitalization for Mental Illness: Age 18 and Older,FUH-AD,Higher rates are better for this measure,Percentage of Hospitalizations for Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 7 Days after Discharge: Ages 18 to 64,2019,Medicaid,Administrative,32.3,42,32.3,24.3,46.7,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rates include managed care population (4 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles. Rates were validated by the state's EQRO.,Yes
Tennessee,Behavioral Health Care,Adult Core Set,Follow-Up After Hospitalization for Mental Illness: Age 18 and Older,FUH-AD,Higher rates are better for this measure,Percentage of Hospitalizations for Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 30 Days after Discharge: Ages 18 to 64,2019,Medicaid,Administrative,53.7,42,54.8,41.7,63,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rates include managed care population (4 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles. Rates were validated by the state's EQRO.,Yes
Tennessee,Behavioral Health Care,Adult Core Set,Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older,IET-AD,Higher rates are better for this measure,Percentage with a New Episode of Alcohol Abuse or Dependence who Initiated Alcohol or Other Drug Treatment within 14 Days of the Diagnosis: Ages 18 to 64,2019,Medicaid,Administrative,45.2,37,39.9,35.7,42.4,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rates include managed care population (4 MCOs) age 18 and older. Rates exclude Medicare-Medicaid Dual Eligibles. Rates were validated by the state's EQRO.,Yes
Tennessee,Behavioral Health Care,Adult Core Set,Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older,IET-AD,Higher rates are better for this measure,Percentage with a New Episode of Alcohol Abuse or Dependence who Initiated and Engaged in Alcohol or Other Drug Treatment within 34 Days of the Initiation Visit: Ages 18 to 64,2019,Medicaid,Administrative,10.8,37,11.2,8.5,14.6,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rates include managed care population (4 MCOs) age 18 and older. Rates exclude Medicare-Medicaid Dual Eligibles. Rates were validated by the state's EQRO.,Yes
Tennessee,Behavioral Health Care,Adult Core Set,Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older,IET-AD,Higher rates are better for this measure,Percentage with a New Episode of Opioid Abuse or Dependence who Initiated Alcohol or Other Drug Treatment within 14 Days of the Diagnosis: Ages 18 to 64,2019,Medicaid,Administrative,46.3,37,54,43.2,57.4,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rates include managed care population (4 MCOs) age 18 and older. Rates exclude Medicare-Medicaid Dual Eligibles. Rates were validated by the state's EQRO.,Yes
Tennessee,Behavioral Health Care,Adult Core Set,Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older,IET-AD,Higher rates are better for this measure,Percentage with a New Episode of Opioid Abuse or Dependence who Initiated and Engaged in Alcohol or Other Drug Treatment within 34 Days of the Initiation Visit: Ages 18 to 64,2019,Medicaid,Administrative,19.0,37,27.7,15.4,35,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rates include managed care population (4 MCOs) age 18 and older. Rates exclude Medicare-Medicaid Dual Eligibles. Rates were validated by the state's EQRO.,Yes
Tennessee,Behavioral Health Care,Adult Core Set,Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older,IET-AD,Higher rates are better for this measure,Percentage with a New Episode of Other Drug Abuse or Dependence who Initiated Alcohol or Other Drug Treatment within 14 Days of the Diagnosis: Ages 18 to 64,2019,Medicaid,Administrative,42.8,37,39.9,37.3,42.2,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rates include managed care population (4 MCOs) age 18 and older. Rates exclude Medicare-Medicaid Dual Eligibles. Rates were validated by the state's EQRO.,Yes
Tennessee,Behavioral Health Care,Adult Core Set,Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older,IET-AD,Higher rates are better for this measure,Percentage with a New Episode of Other Drug Abuse or Dependence who Initiated and Engaged in Alcohol or Other Drug Treatment within 34 Days of the Initiation Visit: Ages 18 to 64,2019,Medicaid,Administrative,11.8,37,10.8,9.2,14.5,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rates include managed care population (4 MCOs) age 18 and older. Rates exclude Medicare-Medicaid Dual Eligibles. Rates were validated by the state's EQRO.,Yes
Tennessee,Behavioral Health Care,Adult Core Set,Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older,IET-AD,Higher rates are better for this measure,Percentage with a New Episode of Alcohol or Other Drug Abuse or Dependence who Initiated Alcohol or Other Drug Treatment within 14 Days of the Diagnosis: Ages 18 to 64,2019,Medicaid,Administrative,42.5,38,42,37.6,45.2,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rates include managed care population (4 MCOs) age 18 and older. Rates exclude Medicare-Medicaid Dual Eligibles. Rates were validated by the state's EQRO.,Yes
Tennessee,Behavioral Health Care,Adult Core Set,Initiation and Engagement of Alcohol and Other Drug Abuse or Dependence Treatment: Age 18 and Older,IET-AD,Higher rates are better for this measure,Percentage with a New Episode of Alcohol or Other Drug Abuse or Dependence who Initiated and Engaged in Alcohol or Other Drug Treatment within 34 Days of the Initiation Visit: Ages 18 to 64,2019,Medicaid,Administrative,13.2,38,15.7,11.4,19.1,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rates include managed care population (4 MCOs) age 18 and older. Rates exclude Medicare-Medicaid Dual Eligibles. Rates were validated by the state's EQRO.,Yes
Tennessee,Behavioral Health Care,Adult Core Set,Use of Opioids at High Dosage in Persons Without Cancer: Age 18 and Older,OHD-AD,Lower rates are better for this measure,Percentage of Adults Without Cancer with Two or More Opioid Prescription Claims with an Average Daily Dosage Greater than or Equal to 90 Morphine Milligram Equivalents Over 90 Consecutive Days or More: Ages 18 to 64,2019,Medicaid,Administrative,3.6,26,6.4,10.7,3.4,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rate includes managed care population (4 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles.,Yes
Tennessee,Care of Acute and Chronic Conditions,Adult Core Set,Annual Monitoring for Patients on Persistent Medications: Age 18 and Older,MPM-AD,Higher rates are better for this measure,Percentage who Received at Least 180 Treatment Days of Ambulatory Medication Therapy and Annual Monitoring: Ages 18 to 64,2019,Medicaid,Administrative,92.2,40,87.4,86.2,89,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rate includes managed care population (4 MCOs) age 18 and older. Rate excludes Medicare-Medicaid Dual Eligibles. Rate was validated by the state's EQRO.,Yes
Tennessee,Care of Acute and Chronic Conditions,Adult Core Set,Asthma Medication Ratio: Ages 19 to 64,AMR-AD,Higher rates are better for this measure,Percentage with Persistent Asthma who had a Ratio of Controller Medications to Total Asthma Medications of 0.50 or Greater: Ages 19 to 50,2019,Medicaid,Administrative,48.6,39,53.8,49.6,56.5,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rates include managed care population (4 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles. Rates were validated by the state's EQRO.,Yes
Tennessee,Care of Acute and Chronic Conditions,Adult Core Set,Asthma Medication Ratio: Ages 19 to 64,AMR-AD,Higher rates are better for this measure,Percentage with Persistent Asthma who had a Ratio of Controller Medications to Total Asthma Medications of 0.50 or Greater: Ages 51 to 64,2019,Medicaid,Administrative,48.1,38,57,51.6,63.1,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rates include managed care population (4 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles. Rates were validated by the state's EQRO.,Yes
Tennessee,Care of Acute and Chronic Conditions,Adult Core Set,Asthma Medication Ratio: Ages 19 to 64,AMR-AD,Higher rates are better for this measure,Percentage with Persistent Asthma who had a Ratio of Controller Medications to Total Asthma Medications of 0.50 or Greater: Ages 19 to 64,2019,Medicaid,Administrative,48.6,39,54.6,51.6,58.6,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rates include managed care population (4 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles. Rates were validated by the state's EQRO.,Yes
Tennessee,Care of Acute and Chronic Conditions,Adult Core Set,Comprehensive Diabetes Care: Hemoglobin A1c Poor Control (>9.0%): Ages 18 to 75,HPC-AD,Lower rates are better for this measure,Percentage with Diabetes (Type 1 or Type 2) who had Hemoglobin A1c in Poor Control (>9.0%): Ages 18 to 64,2019,Medicaid,Hybrid,39.5,29,38.8,45.5,34.7,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rate includes managed care population (4 MCOs) ages 18 to 75. Rate excludes Medicare-Medicaid Dual Eligibles. Denominator is the sample size; measure-eligible population is 51,559. Rate was validated by the state's EQRO.",Yes
Tennessee,Care of Acute and Chronic Conditions,Adult Core Set,Comprehensive Diabetes Care: Hemoglobin A1c Testing: Ages 18 to 75,HA1C-AD,Higher rates are better for this measure,Percentage with Diabetes (Type 1 or Type 2) who had a Hemoglobin A1c (HbA1c) Test: Ages 18 to 64,2019,Medicaid,Hybrid,84.7,40,86.1,82.9,87.4,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rate includes managed care population (4 MCOs) ages 18 to 75. Rate excludes Medicare-Medicaid Dual Eligibles. Denominator is the sample size; measure-eligible population is 51,559. Rate was validated by the state's EQRO.",Yes
Tennessee,Care of Acute and Chronic Conditions,Adult Core Set,Controlling High Blood Pressure: Ages 18 to 85,CBP-AD,Higher rates are better for this measure,Percentage who had a Diagnosis of Hypertension and Whose Blood Pressure was Adequately Controlled During the Measurement Year: Ages 18 to 64,2019,Medicaid,Hybrid,64.3,32,60,51,64.8,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rate includes managed care population (4 MCOs) ages 18 to 85. Rate excludes Medicare-Medicaid Dual Eligibles. Denominator is the sample size; measure-eligible population is 99,476. Rate was validated by the state's EQRO.",Yes
Tennessee,Care of Acute and Chronic Conditions,Adult Core Set,Plan All-Cause Readmissions: Ages 18 to 64,PCR-AD,Lower rates are better for this measure,Ratio of Observed All-Cause Readmissions to Expected Readmissions: Ages 18 to 64,2019,Medicaid,Administrative,1.1360,31,0.8283,0.9929,0.7188,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rates include managed care population (4 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles.,Yes
Tennessee,Care of Acute and Chronic Conditions,Adult Core Set,PQI 01: Diabetes Short-Term Complications Admission Rate: Age 18 and Older,PQI01-AD,Lower rates are better for this measure,"Inpatient Hospital Admissions for Diabetes Short-Term Complications per 100,000 Beneficiary Months: Ages 18 to 64",2019,Medicaid,Administrative,16.8,30,19.1,24.4,15.1,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rate includes managed care population (4 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles.,Yes
Tennessee,Care of Acute and Chronic Conditions,Adult Core Set,PQI 05: Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults Admission Rate: Age 40 and Older,PQI05-AD,Lower rates are better for this measure,"Inpatient Hospital Admissions for Chronic Obstructive Pulmonary Disease (COPD) or Asthma per 100,000 Beneficiary Months: Ages 40 to 64",2019,Medicaid,Administrative,77.7,25,71.9,97.6,50.5,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rate includes managed care population (4 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles.,Yes
Tennessee,Care of Acute and Chronic Conditions,Adult Core Set,PQI 08: Heart Failure Admission Rate: Age 18 and Older,PQI08-AD,Lower rates are better for this measure,"Inpatient Hospital Admissions for Heart Failure per 100,000 Beneficiary Months: Ages 18 to 64",2019,Medicaid,Administrative,26.8,26,26.4,34.9,22,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rate includes managed care population (4 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles.,Yes
Tennessee,Care of Acute and Chronic Conditions,Adult Core Set,PQI 15: Asthma in Younger Adults Admission Rate: Ages 18 to 39,PQI15-AD,Lower rates are better for this measure,"Inpatient Hospital Admissions for Asthma per 100,000 Beneficiary Months: Ages 18 to 39",2019,Medicaid,Administrative,2.9,26,6.1,7.9,3.5,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rate includes managed care population (4 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles.,Yes
Tennessee,Maternal and Perinatal Health,Adult Core Set,Contraceptive Care: Postpartum Women Ages 21 to 44,CCP-AD,Higher rates are better for this measure,Percentage of Postpartum Women Provided a Most Effective or Moderately Effective Method of Contraception Within 3 Days of Delivery: Ages 21 to 44,2019,Medicaid,Administrative,14.3,29,11.3,9.1,14.4,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rates include managed care population (4 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles.,Yes
Tennessee,Maternal and Perinatal Health,Adult Core Set,Contraceptive Care: Postpartum Women Ages 21 to 44,CCP-AD,Higher rates are better for this measure,Percentage of Postpartum Women Provided a Most Effective or Moderately Effective Method of Contraception Within 60 Days of Delivery: Ages 21 to 44,2019,Medicaid,Administrative,47.9,29,40.2,32.5,46.6,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rates include managed care population (4 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles.,Yes
Tennessee,Maternal and Perinatal Health,Adult Core Set,Contraceptive Care: Postpartum Women Ages 21 to 44,CCP-AD,Higher rates are better for this measure,Percentage of Postpartum Women Provided a Long-Acting Reversible Method of Contraception Within 3 Days of Delivery: Ages 21 to 44,2019,Medicaid,Administrative,1.7,29,1.6,0.5,2.1,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rates include managed care population (4 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles.,Yes
Tennessee,Maternal and Perinatal Health,Adult Core Set,Contraceptive Care: Postpartum Women Ages 21 to 44,CCP-AD,Higher rates are better for this measure,Percentage of Postpartum Women Provided a Long-Acting Reversible Method of Contraception Within 60 Days of Delivery: Ages 21 to 44,2019,Medicaid,Administrative,12.7,29,12.6,8.9,14.7,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Rates include managed care population (4 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles.,Yes
Tennessee,Maternal and Perinatal Health,Adult Core Set,Prenatal and Postpartum Care: Postpartum Care,PPC-AD,Higher rates are better for this measure,Percentage of Women Delivering a Live Birth who had a Postpartum Care Visit on or Between 21 and 56 Days after Delivery,2019,Medicaid,Hybrid,61.5,39,61.2,57.4,66.3,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.","Rate includes managed care population (4 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. Denominator is the sample size; measure-eligible population is 33,152. Rate was validated by the state's EQRO.",Yes
